INDEX,À½½Ä¸í,·çÅ×ÀÎ(mg),ºñÅ¸¹ÎA(ug),ºñÅ¸¹ÎD(ug),ºñÅ¸¹ÎE(mg),ºñÅ¸¹ÎK(ug),ºñÅ¸¹ÎC(mg),ºñÅ¸¹ÎB2(mg),¾Æ¿¬(mg),¼¿·»(ug),Ã¶(mg),¸¶±×³×½·(mg),EPA(mg),ÇÁ·Î¹ÙÀÌ¿ÀÆ½½º(CFU),½Ç¸®¸¶¸°(mg),³ªÀÌ¾Æ½Å(mg),¿Ã¸®°í´ç(g),Ä®½·(mg),ºñÅ¸¹ÎB6(mg),º£Å¸Ä«·ÎÆ¾(mg),ÆÇÅäÅÙ»ê(mg),ºñ¿ÀÆ¾(ug),¸Á°£(mg),Å©·Ò(ug),¿±»ê(ug),±¸¸®(mg),¸ô¸®ºêµ§(ug)
104,Ä¡Å²,0.07,15,0.2,0.45,7.5,1,0.15,1.2,13,1.3,23,0,0,0,10,0.2,13,0.4,0.05,0.9,1.5,0.03,1.5,7,0.07,3
105,ÇÇÀÚ,0.2,125,0.35,0.75,7.5,0.25,0.3,1.5,15,1.5,22,0,0,0,3.5,0.2,150,0.2,0.75,0.5,1.5,0.2,1.5,30,0.15,3.5
106,ÀÚÀå¸é,0.1,5,0,0.2,5,2,0.04,0.6,10,1,20,0,0,0,1,0.3,20,0.05,0.1,0.3,2,0.1,1,15,0.05,2
107,Â«»Í,0.1,100,0.1,0.5,10,5,0.05,1,5,2,20,10,0,0,1.5,0.3,20,0.1,1,0.2,2,0.1,2,15,0.1,3
108,ÅÁ¼öÀ°,0.07,7,0.05,0.2,2.5,3,0.07,1.5,15,1.5,15,0,0,0,1.5,0.25,7.5,0.15,0.05,0.15,1.5,0.15,1.5,15,0.15,3.5
109,ÃÊ¹ä,0.06,7,0.05,0.15,2.5,2.5,0.07,0.75,7.5,0.75,7.5,3,500,0,1.5,0.5,10,0.06,0.05,0.2,2.5,0.07,3,7.5,0.07,3.5
110,Æ÷ÄÉ,0.2,15,0.05,0.25,7,20,0.2,1.5,15,1.5,25,150,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,3.5,40,"0,15",4
111,µ·°¡½º,0.2,7.5,0.05,0.3,3,3,0.2,1.5,15,1.5,25,2.5,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,3.5,40,0.15,4
112,µ·±î½º,0.2,7.5,0.05,0.3,3,3,0.2,1.5,15,1.5,25,2.5,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,3.5,40,0.15,4
113,±è¹ä,0.2,7.5,0.05,0.3,3,3,0.2,1.5,15,1.5,25,2.5,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,"3,5",40,0.15,4
114,¶±ººÀÌ,0.1,5,0.1,0.3,2,2,0.2,1,10,1,20,1,1000,0,3,3,19,0.2,0.3,0.4,7.5,0.4,3,50,0.2,3
115,¼ø´ë,0.2,8,0.1,0.2,1.5,2,0.1,1,15,1.5,25,2.5,500,0,3.5,0.5,30,0.4,0.4,0.5,7.5,0.35,3.5,40,0.15,4
116,¾î¹¬,0.1,5,0.1,0.2,1.5,2,0.1,1,15,1.5,25,2.5,500,0,3.5,0.5,30,0.4,0.4,0.5,7.5,0.35,3.5,40,0.15,4
117,¾î¹¬ÅÁ,0.2,7.5,0.05,0.3,3,3,0.2,1.5,15,1.5,25,2.5,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,3.5,40,0.15,4
118,ÀâÃ¤,0.2,10,0.1,0.2,2,10,0.2,1,20,2,30,2.5,500,0,4,2,50,0.5,0.3,0.4,10,0.5,5,50,0.2,5
119,¿Àµ­,0.1,5,0.1,0.2,1.5,2,0.1,1,15,1.5,25,2.5,500,0,3.5,0.5,30,0.4,0.4,0.5,7.5,0.35,3.5,40,0.15,4
120,¿Àµ­ÅÁ,0.2,7.5,0.05,0.3,3,3,0.2,1.5,15,1.5,25,2.5,500,0,3.5,0.5,30,0.35,0.35,0.5,7.5,0.4,3.5,40,0.15,4
